"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","2026-07-27","passed","2026-07-27","","test_markers","",""
"","1746","User login with wrong email or password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","10212","User login with correct email and password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1431","Navigation from login page to registration page","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","3340","Registration with correct email, username and password","LMS system","2026-07-27","passed","2026-07-27","Registration","Authentication","",""
"","2577","Create course","LMS system","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","1489","User login with wrong email or password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1086","Check displaying of empty courses list","LMS system","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-07-27","passed","2026-07-27","TestUserAuthorization","test_markers","",""
"","0","test_logout","tests.pytest","2026-07-27","passed","2026-07-27","TestUserAuthorization","test_markers","",""
"","3068","User login with correct email and password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1500","User login with wrong email or password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1647","Check displaying of dashboard page","LMS system","2026-07-27","passed","2026-07-27","Dashboard","Dashboard","",""
"","2736","Create course","LMS system","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","1805","User login with wrong email or password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-07-27","passed","2026-07-27","TestUserInterface","test_markers","",""
"","1728","User login with wrong email or password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","3459","Edit course","LMS system","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","1596","Check displaying of empty courses list","LMS system","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-07-27","passed","2026-07-27","","test_markers","",""
"","5477","Edit course","LMS system","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","2026-07-27","passed","2026-07-27","TestUserAuthorization","test_markers","",""
"","1808","Registration with correct email, username and password","LMS system","2026-07-27","passed","2026-07-27","Registration","Authentication","",""
"","1881","Check displaying of dashboard page","LMS system","2026-07-27","passed","2026-07-27","Dashboard","Dashboard","",""
"","1801","User login with wrong email or password","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1606","Navigation from login page to registration page","LMS system","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
