"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1128","Navigation from login page to registration page","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","3654","Edit course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1638","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","2019","Check displaying of dashboard page","LMS system","2026-07-26","passed","2026-07-26","Dashboard","Dashboard","",""
"","2804","User login with correct email and password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-07-26","passed","2026-07-26","TestUserAuthorization","test_markers","",""
"","1267","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","2881","Edit course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1224","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","2242","Create course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1463","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1436","Navigation from login page to registration page","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1549","Check displaying of dashboard page","LMS system","2026-07-26","passed","2026-07-26","Dashboard","Dashboard","",""
"","1429","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-07-26","passed","2026-07-26","TestUserAuthorization","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-07-26","passed","2026-07-26","TestUserInterface","test_markers","",""
"","1502","Check displaying of empty courses list","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1576","Registration with correct email, username and password","LMS system","2026-07-26","passed","2026-07-26","Registration","Authentication","",""
"","1851","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1","test_critical_login","tests.pytest","2026-07-26","passed","2026-07-26","","test_markers","",""
"","6197","User login with correct email and password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-07-26","passed","2026-07-26","","test_markers","",""
"","2368","Create course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1217","Check displaying of empty courses list","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1874","Registration with correct email, username and password","LMS system","2026-07-26","passed","2026-07-26","Registration","Authentication","",""
"","0","test_logout","tests.pytest","2026-07-26","passed","2026-07-26","TestUserAuthorization","test_markers","",""
